@ant/claude-for-chrome-mcp	.
@thyrox/tool-registry	./tools/TaskGetTool/constants.js
@thyrox/tool-registry	./tools/TaskGetTool/prompt.js
@thyrox/tool-registry	./tools/TaskListTool/TaskListTool.js
@thyrox/tool-registry	./tools/TaskListTool/constants.js
@thyrox/tool-registry	./tools/TaskListTool/prompt.js
@thyrox/tool-registry	./tools/TaskOutputTool/TaskOutputTool.js
@thyrox/tool-registry	./tools/TodoWriteTool/TodoWriteTool.js
@thyrox/tool-registry	./tools/TodoWriteTool/constants.js
@thyrox/tool-registry	./tools/TodoWriteTool/prompt.js
@thyrox/tool-registry	./tools/testing/TestingPermissionTool
@thyrox/tool-registry	./tools/testing/TestingPermissionTool.js
@thyrox/tool-registry	./undercover.js
@thyrox/tool-registry	./utils/array.js
@thyrox/tool-registry	./utils/lazySchema.js
@thyrox/tool-registry	./utils/objectGroupBy.js
@thyrox/tool-registry	./utils/semanticBoolean.js
@thyrox/tool-registry	./utils/semanticNumber.js
@thyrox/tool-registry	./words.js
@thyrox/tools	./agent
@thyrox/tools	./agentDefinitions
@thyrox/tools	./definitions
@thyrox/tools	./plan
@thyrox/tools	./registry
@thyrox/tools	./skill
@thyrox/tools	./tasks
@thyrox/tools	./web
@thyrox/updater	.
@thyrox/updater	./autoUpdater.js
@thyrox/updater	./binaryCheck.js
@thyrox/updater	./completionCache.js
@thyrox/updater	./contracts
@thyrox/updater	./errors
@thyrox/updater	./githubReleases.js
@thyrox/updater	./nativeInstaller
@thyrox/updater	./nativeInstaller/download.js
@thyrox/updater	./nativeInstaller/index.js
@thyrox/updater	./nativeInstaller/installer.js
@thyrox/updater	./nativeInstaller/launcherOwnership.js
@thyrox/updater	./nativeInstaller/packageManagers.js
@thyrox/updater	./nativeInstaller/pidLock.js
@thyrox/updater	./nativeInstaller/platform.js
@thyrox/updater	./nativeInstaller/streamBinaryDownload.js
@thyrox/updater	./testing
@thyrox/url-handler-napi	.
@thyrox/voice	.
@thyrox/voice	./appStateHooks.js
@thyrox/voice	./contracts
@thyrox/voice	./errors
@thyrox/voice	./hooks/useVoice.js
@thyrox/voice	./hooks/useVoiceEnabled.js
@thyrox/voice	./hooks/useVoiceIntegration
@thyrox/voice	./hooks/useVoiceIntegration.js
@thyrox/voice	./testing
@thyrox/voice	./voice.js
@thyrox/voice	./voiceContext
@thyrox/voice	./voiceContext.js
@thyrox/voice	./voiceKeyterms.js
@thyrox/voice	./voiceModeEnabled.js
@thyrox/voice	./voiceStreamSTT.js
